"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3349","Element Screenshot","chromium","Tue May 20 16:50:45 IST 2025","passed","Tue May 20 16:50:48 IST 2025","","20_Screenshot.spec.js","",""
"","6696","Validate Radio button for automate","webkit","Tue May 20 16:54:38 IST 2025","passed","Tue May 20 16:54:45 IST 2025","","12_Radiobutton.spec.js","",""
"","21767","Page screenshot","webkit","Tue May 20 16:55:20 IST 2025","passed","Tue May 20 16:55:42 IST 2025","","21_ScreenshotPract.spec.js","",""
"","9645","Validate Radio button for facebook","webkit","Tue May 20 16:54:37 IST 2025","passed","Tue May 20 16:54:47 IST 2025","","12_Radiobutton.spec.js","",""
"","8014","Multi Select Dropdown","webkit","Tue May 20 16:54:46 IST 2025","passed","Tue May 20 16:54:54 IST 2025","","15_MultiSelectDropdown.spec.js","",""
"","4356","JS Alert - Validate Alert Test and Clik OK","webkit","Tue May 20 16:54:32 IST 2025","passed","Tue May 20 16:54:36 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","13650","Assertions Test","chromium","Tue May 20 16:50:01 IST 2025","passed","Tue May 20 16:50:14 IST 2025","","06_Assertions.spec.js","",""
"","4007","Validate Radio button for facebook","chromium","Tue May 20 16:50:42 IST 2025","passed","Tue May 20 16:50:46 IST 2025","","12_Radiobutton.spec.js","",""
"","5416","Test1","firefox","Tue May 20 16:53:36 IST 2025","passed","Tue May 20 16:53:41 IST 2025","","22_Reports.spec.js","",""
"","35079","Register and login","webkit","Tue May 20 16:54:01 IST 2025","broken","Tue May 20 16:54:37 IST 2025","","05_OpenCartLogin.spec.js","",""
"","7260","JS Alert - Validate Confirm Test and Click OK","firefox","Tue May 20 16:51:21 IST 2025","passed","Tue May 20 16:51:28 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","18290","Dropdown for facebook","webkit","Tue May 20 16:54:45 IST 2025","passed","Tue May 20 16:55:03 IST 2025","","14_Dropdown.spec.js","",""
"","5699","Page Screenshot","firefox","Tue May 20 16:53:30 IST 2025","passed","Tue May 20 16:53:36 IST 2025","","20_Screenshot.spec.js","",""
"","30291","Assertions Test","firefox","Tue May 20 16:51:11 IST 2025","broken","Tue May 20 16:51:41 IST 2025","","06_Assertions.spec.js","",""
"","30155","Test3","firefox","Tue May 20 16:53:41 IST 2025","broken","Tue May 20 16:54:11 IST 2025","","22_Reports.spec.js","",""
"","10691","PopUps Demo Playwrite","firefox","Tue May 20 16:51:36 IST 2025","passed","Tue May 20 16:51:47 IST 2025","","09_Popups.spec.js","",""
"","6782","Element Screenshot","firefox","Tue May 20 16:53:41 IST 2025","passed","Tue May 20 16:53:48 IST 2025","","20_Screenshot.spec.js","",""
"","16459","Full Page screenshot","webkit","Tue May 20 16:55:22 IST 2025","passed","Tue May 20 16:55:39 IST 2025","","21_ScreenshotPract.spec.js","",""
"","9217","JS Alert - Validate Alert Test and Clik OK","firefox","Tue May 20 16:51:12 IST 2025","passed","Tue May 20 16:51:21 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","12357","Dropdown for facebook","chromium","Tue May 20 16:50:27 IST 2025","passed","Tue May 20 16:50:40 IST 2025","","14_Dropdown.spec.js","",""
"","6516","Radio button","chromium","Tue May 20 16:50:21 IST 2025","passed","Tue May 20 16:50:28 IST 2025","","11_Radiobutton.spec.js","",""
"","5070","Test2","webkit","Tue May 20 16:55:25 IST 2025","passed","Tue May 20 16:55:30 IST 2025","","22_Reports.spec.js","",""
"","8302","Full Page screenshot","chromium","Tue May 20 16:50:47 IST 2025","passed","Tue May 20 16:50:56 IST 2025","","21_ScreenshotPract.spec.js","",""
"","34728","Auto Suggest Dropdown","firefox","Tue May 20 16:52:39 IST 2025","broken","Tue May 20 16:53:14 IST 2025","","16_AutoSuggestionDropdown.spec.js","",""
"","4801","Full page screenshot","webkit","Tue May 20 16:55:15 IST 2025","passed","Tue May 20 16:55:20 IST 2025","","20_Screenshot.spec.js","",""
"","22543","Checkbox - In Playwright","webkit","Tue May 20 16:54:56 IST 2025","passed","Tue May 20 16:55:19 IST 2025","","13_Checkbox.spec.js","",""
"","19089","Register and login","chromium","Tue May 20 16:50:01 IST 2025","failed","Tue May 20 16:50:20 IST 2025","","05_OpenCartLogin.spec.js","",""
"","25043","Validate Goodle search","chromium","Tue May 20 16:50:38 IST 2025","passed","Tue May 20 16:51:03 IST 2025","","16_AutoSuggestionDropdown.spec.js","",""
"","11377","Full Page screenshot","firefox","Tue May 20 16:53:32 IST 2025","passed","Tue May 20 16:53:43 IST 2025","","21_ScreenshotPract.spec.js","",""
"","31296","Checkbox - In Playwright","firefox","Tue May 20 16:51:48 IST 2025","broken","Tue May 20 16:52:19 IST 2025","","13_Checkbox.spec.js","",""
"","15703","Builtin Locators","webkit","Tue May 20 16:54:09 IST 2025","passed","Tue May 20 16:54:24 IST 2025","","04_Builtin_Locators.spec.js","",""
"","8837","JS Alert - Validate Confirm Test and Click Cancel","firefox","Tue May 20 16:51:27 IST 2025","passed","Tue May 20 16:51:36 IST 2025","Javascript Alert, Confirm, Prompt in Playwright","08_PopupAlerts.spec.js","",""
"","11099","Register and login","firefox","Tue May 20 16:51:10 IST 2025","failed","Tue May 20 16:51:21 IST 2025","","05_OpenCartLogin.spec.js","",""
"","31139","Validate Radio button for automate","firefox","Tue May 20 16:51:47 IST 2025","broken","Tue May 20 16:52:18 IST 2025","","12_Radiobutton.spec.js","",""
"","30398","Test3","webkit","Tue May 20 16:55:47 IST 2025","broken","Tue May 20 16:56:17 IST 2025","","22_Reports.spec.js","",""
"","9866","Validate Username and password","firefox","Tue May 20 16:51:38 IST 2025","passed","Tue May 20 16:51:48 IST 2025","","10_PracticePopup.spec.js","",""
